symbol,sector,industry,longName,volume,profitMargins,sharesOutstanding,regularMarketPreviousClose,trailingPE,priceToBook
0022.HK,Consumer Cyclical,Lodging,Mexan Limited,60009,-0.32411,1966390016,0.172,6.2545457,0.6013986
0023.HK,Financial Services,Banks—Regional,"The Bank of East Asia, Limited",29600,0.28109,2906469888,17.78,8.531402,0.50085086
0024.HK,Basic Materials,Steel,Burwill Holdings Limited,7378000,-0.15025,5111620096,0.071,,0.5590551
0025.HK,Industrials,Conglomerates,Chevalier International Holdings Limited,14071,0.13361,301928000,11.2,5.2442393,0.37690854
0026.HK,Real Estate,Real Estate—Development,"China Motor Bus Company, Limited",200,2.68621,45308100,117.0,3.809834,0.52470607
0027.HK,Consumer Cyclical,Resorts & Casinos,Galaxy Entertainment Group Limited,259000,0.24320999,4332590080,51.65,16.496162,3.2643764
0028.HK,Real Estate,Real Estate—Development,Tian An China Investments Company Limited,128000,0.65279996,1506770048,3.46,4.168675,0.21542867
0029.HK,Real Estate,Real Estate Services,Dynamic Holdings Limited,26855,0.50725,237704000,11.26,52.465115,1.2290258
0030.HK,Financial Services,Capital Markets,Ban Loong Holdings Limited,50000,0.037839998,6448150016,0.325,,2.6666667
0031.HK,Technology,Electronic Components,China Aerospace International Holdings Limited,16000,0.10226,3085019904,0.44,3.3587787,0.18924731
0032.HK,Consumer Defensive,Education & Training Services,The Cross-Harbour (Holdings) Limited,3000,1.1096901,372688000,12.18,10.15,0.6331219
0033.HK,Financial Services,Asset Management,China Cloud Copper Company Limited,178000,-0.39134997,937796992,0.108,,0.43410856
0034.HK,Real Estate,Real Estate Services,Kowloon Development Company Limited,41000,0.38255,1176630016,9.35,5.0268817,0.40885043
0035.HK,Real Estate,Real Estate—Development,Far East Consortium International Limited,101600,0.20055,2376059904,3.8,5.135135,0.6829619
0036.HK,Consumer Cyclical,Apparel Manufacturing,Far East Holdings International Limited,3000,0.0,1089120000,0.217,,0.33436054
0037.HK,Consumer Cyclical,Lodging,Far East Hotels and Entertainment Limited,206000,-0.31427,610710976,0.202,,0.45701358
0038.HK,Industrials,Farm & Heavy Construction Machinery,First Tractor Company Limited,58000,-0.14041,391940000,1.59,,2.1466668
0039.HK,Consumer Defensive,Grocery Stores,China Beidahuang Industry Group Holdings Limited,408000,-0.00275,6225129984,0.091,17.647058,0.35714287
0040.HK,Technology,Electronic Components,Gold Peak Industries (Holdings) Limited,44000,0.0328,784692992,0.85,35.416668,0.46120456
0041.HK,Consumer Cyclical,Lodging,Great Eagle Holdings Limited,36499,0.45340002,708344000,26.6,3.2172868,0.2618287
0042.HK,Industrials,Specialty Industrial Machinery,Northeast Electric Development Company Limited,118000,-0.00876,257950000,0.53,42.47135,
0043.HK,Consumer Defensive,Farm Products,C.P. Pokphand Co. Ltd.,36000,0.029240001,24071800832,0.66,7.5762796,12.941177
0045.HK,Consumer Cyclical,Lodging,"The Hongkong and Shanghai Hotels, Limited",500,0.14086,1634419968,8.78,11.384616,0.37285858
0046.HK,Technology,Information Technology Services,Computer And Technologies Holdings Limited,6000,0.23419,249488000,3.14,11.310594,1.6262262
0047.HK,Consumer Cyclical,Restaurants,Hop Hing Group Holdings Limited,52000,0.048060004,9757240320,0.107,8.64,1.5882353
0048.HK,Consumer Cyclical,Textile Manufacturing,China Automotive Interior Decoration Holdings Limited,3030000,-0.25915,1990659968,0.049,,2.8749998
0050.HK,Real Estate,Real Estate—Diversified,Hong Kong Ferry (Holdings) Company Limited,1000,0.47313,356273984,6.98,7.1030927,0.40109444
0051.HK,Real Estate,Real Estate—Development,Harbour Centre Development Limited,11000,0.45128,709000000,11.8,10.08547,0.47732696
0052.HK,Consumer Cyclical,Restaurants,Fairwood Holdings Limited,4000,0.044970002,129533000,20.2,14.392858,3.4891775
0053.HK,Real Estate,Real Estate—Development,Guoco Group Limited,4000,0.19278,329051008,130.5,12.550577,5.391772
0055.HK,Industrials,Specialty Business Services,Neway Group Holdings Limited,14000,-0.03695,253639008,0.226,,0.06073097
0056.HK,Financial Services,Mortgage Finance,Allied Properties (H.K.) Limited,134000,0.43138,6812199936,1.54,4.4767437,0.2789855
0057.HK,Industrials,Specialty Industrial Machinery,Chen Hsong Holdings Limited,14000,0.06823,630531968,2.23,15.454545,0.52644116
0058.HK,Basic Materials,Building Materials,Sunway International Holdings Limited,360000,-0.79036003,748936000,0.08,0.8096838,0.27027026
0059.HK,Real Estate,Real Estate—Development,Skyfame Realty (Holdings) Limited,904000,0.11173,7936240128,1.05,,20.192307
0060.HK,Consumer Defensive,Food Distribution,Hong Kong Food Investment Holdings Limited,8000,1.2445201,259586000,0.8,,0.32025623
0061.HK,Basic Materials,Coking Coal,Green Leader Holdings Group Limited,5480000,-1.6196699,8773229568,0.026,,
0062.HK,Industrials,Railroads,Transport International Holdings Limited,4400,0.0876,446940992,20.1,11.964286,0.8597092
0063.HK,Real Estate,Real Estate Services,China Graphene Group Limited,1000,0.0,2819099904,0.23,,3.4328358
0064.HK,Financial Services,Capital Markets,Get Nice Holdings Limited,346000,0.39523,9662709760,0.237,3.400287,0.41433564
0065.HK,Energy,Thermal Coal,Grand Ocean Advanced Resources Company Limited,221990,0.083380006,1503480064,0.24,,2.1061947
